[0,0] -2425751747017313364053311993492640293917600257830563210809884553208491993707776042544872210938897737032783564804967852127812215717333569111222488449582783852758216217832659290346077075474007315652262126196216655026496170643037507999258528345863491970294203110196064296725932049547293513713395642756168008581286983444320116618076600888200999010044118025530451507971014877536973075996643252772871186441990923584939454318300337127185825697802765113405901918590568274982544106144789581514764840378286669426697802360680922045542110168248747580576665542886780241722125413400032175540684795981018903699402020805365197572853855001540936832225329199271131863122724166357819801695226166465882433117550071623819747046424581258922298126366363000439041173548316504465917233867803809040661936203343298862927154849062663036151958560007516753356528025325416535952556782029174889997323857332823641900385190058859329504787235465515246206560202072905735878107307336397867734099383200702562629678155526081146136134932309348101985013723691508857882581651210784912109375000000000000000000000000000000000000000000000000
[1,0] 12008120779489602131610429003102760424543352251854717368220006492987596588744895740486314871457172724150178891050775826126084717809659484331314866896829498112896933204860685872803822696735529024140644287252807892718351507932556948757722178455853672880669188770714904125724064968376046029652720247463185126464738980800817678361943763350044331188499175285266068368887082453489962629825783578042867442528169064852924023139843735047542001504316642183684555265160315284331317524460399079901186965932160133044089160236413862142611228676768186581672244271563693652154738706240528507907986275161903515328451056905966450894576920146325150496775618458137938320932590328991285449786196123368314284510950391311086630919697183524335615462171860374145798420183561522929718142507192310877745366127933283428627395337647969342412527917767199585232725470298441753335787459979669590275160632247016279107949533010614914105343319652151440349284693492493636051932421798746242392762084129351880265055710713721396715398040400124557436356553807854652404785156250000000000000000000000000000000000000000000000000000000000
[1,1] -956395139954063334808394942308102923405595106535817249262371472711525836906544419903071371028439927965260781313214681739782913320555630687536834341536766467273005870864214923894771316494047847406660223404092040541193047508744221793060548141852748213996477672996869711455509447824526556301104265279315139910983745191370677534767503131269690393371432840594617860724137651706489665979207962502789716240563510252320034967026871959198679468343990597902867272784543627236966739412357428607086260989783897360054261067546031259848813129307301924074292447855267571098661101853372153807393620291718813458910192460962023860207760489054363681908907409602997273757578539944237870864282994276896002627953877059502401821846277283525259210222007546608583351368468897650576015405935379336871388680894655526424345240141090637776919116480153822475948330314305267418879276271856510710773050187567573171556903584943956912952699632311418585721275516854014546196283876480944546291625497163102673038597133251559565405494612016362721007567415654193609952926635742187500000000000000000000000000000000000000000000000000
[2,0] -31340354261319202121873897634146794739263550641658910991890004203663194425176123888749369565612531830796037504406528710375169617990110544956992054571356769637044840568670440960770022734400593209570134911953993111538974198542690123554642524951904907657476666304891443010550132996981982687355669321150857652274078218656681545576836483054155189800328713509653856097737142236999158696217644295029922790988700247695385348288514612527882805360758453331677638677404441599520771322814663697141006087063322739555566228607183731115457979340904280555435221843973720213551360507211349958698097225108434645610959020740238453431952762643080180012762796234353950871229856053409218446809424187716391596241618142328009922408263973421992619752687469849910489729409748748213480838679537295885306825472875649281445280213453445692865830592438007648808177431298069344160139577411841975154750763501000637593318926673141510802985763837287853474002633649611229097831804657620162649786051384354754931964918461879481581294944192439544394801487214863300323486328125000000000000000000000000000000000000000000000000000000
[2,1] 4436017908498197639952744487533041918801790517169754201841045816238608813369691796850683932643225288081963218196238515887140087886530707445919981041924821223503248362799683525339592573913260704559501810479346339616906479800837027375416002763830040722989012091935185529757090285101339310577276475812331361864865486726236015604805823164604572878629054378438767776794089516826759762298185596971080645638510417884305579088187561633236195625199064892082906730294917938283213769034827429124256986641471762322991877647355163448427421761518794726392844624821597747211692937532359565245841372119677708963200211418384073080859718403985451622803624107856353034103913753217572678788230993395197439450846721821448180406940083046905077533979202187396187716550035089812881360197267899463766609089070224281423657735436038285379163581797394824500055190947890505851010020579132165446867355876004230862070554578106235668029228490973827433425559785497273742877448694669650312389570663144618801753725671794754275137998440195138960540077732730424031615257263183593750000000000000000000000000000000000000000000000
[2,2] -145903059968903892854105665068456126954199580070790267383457484986316386699379783875672750306432533307070540675721421675384304440394635236967346867219081485807937128403819473333482140771662116163590201440090046767291818841493114271286207079100318369283118618684870699321163649857941085938773362753504914642364552405177779262988300471671076803189092927414102322765490475820305200501100931967189969164826127170157630026099132910306952787063967533864877330480692113200038481220881639765580448799050782392998742707556741664668611964081307687721782220130320385705963205955576672161323798473653390803620616063960926193469291452143039722585572770009390553913927492773800064584859087163403348106265897192818111260875405772056508839777378300505161637163737877941985116605507789873406192963276919122875177930740994717193180591650276915556126625243225324761773318032738944543410800397905183858240016866818960803236526340490802003339156990411386874756540924553636116120342157237379836837155041122142969474330033514334996336270222627717885188758373260498046875000000000000000000000000000000000000000000
[3,0] 55445071367697936416816101659997379814781151826200915658075102045779321683795720414156003284799661962168157082433611860394719758641927569166686026422789084300518464456891520340449559559638331588318299198492398818197522573945069563170887299635022510799284818804487533556513987270032560780840204855843960295515647794827465750828150256485265113060177760745295036009018763508144176522984109933402762550485116090616433189810616414230541055946322851388939922297827736025061166294464464857736932558014704909606562468072560803589531350780517227365961764445686559087639519733765728779145244163717236471871691710377295899676975238723442551582859953337192786168361255052038210843656419889338152293027038601786813398408270737823922132473277867778234795507569825763338855349533928433347167817295816332136922159698421116407100336044406099259128859915769791355040452835734824496069855256716071114350425425828396385726637071471668054460178645407862412163632136052824373737052223169249350497045690737453336105131085354003062093397602438926696777343750000000000000000000000000000000000000000000000000000000
[3,1] -10101337716915170515467366773676231483512196368770261857771564215620613469385052433183409443533581591141735055126511377316954454382155322421219560204741956348849488082906000119951133410191615121028801461161772378721791614038556301427715153574913015472941479942171871257671720584660504815580756136792127728805941967200182079066840988822246229707740012174980596631727330572614528246167380913595163132405164301329433755240628182948807136370370300091853745967763348129999868142985773718126401872163811829643557351669199414862379555708160372666113432078844275786504294255952511372277065375314506292255873487097202810434490817250804336691409668214601397440153308290008205844620262085546568486118877368583475092582890850449078576207902392398194687220899499229484011965231263858142979980793501966583933391282510714009166459419592762466632650743380812900658607638582544834954235715566797600328466055926083150571967741000243821451379970488941581644585995783764391746308484007274718265300571929007966011378031895989737520835660689044743776321411132812500000000000000000000000000000000000000000000000
[3,2] 624782704743521838094384864348634954021261093476312326151615978662079937665867477422498380031597759071250452028345648859666373760709191918480598584243647847378251594835780681373177786907192839355650930192695525138602847173488572445327967508348320652492816413707220378380264854303653585634741884399246294015181371833039697527534785952048160654280247915856609121298974319985336007268573912626275048478378656007866542782931311606003477135687551451113713905884429669761249651295308593952212325435545112070994656676033286119032275864901750908749880103593270915586931479390465554295306651331327831294395467673085508983023974037353664440663504530457531782951437489556047527604617909639956500849078344599611394761159441516156426216005245864126295344776932369108054166042315362714082088913458771244421751621190598812619980863575124257291954412031978806023246720975165373447665182297744411714448135041540443441891469645219668882965426157001780163587163472069031962728584700131043781447855325907927509949218010604568562804672637867042794823646545410156250000000000000000000000000000000000000000000
[3,3] -11032950951557121855217660033104441553962671989403086007796385300628166092979622423263770970997754420603445442295888607057959805913376328379744966429747857763732097415449698149055889585094432386250531903909584081132442586844094150854274652528595839474379352665901710341667835024384656452828611331893459857790421110650720419519191421656929142442735951685862740397712449971195768744764278106593647763675733548372418242793373248554710794678339229661184243042458722375130535979861478661940034083626707480998492332685035410357751805901913186851854124839173300731380888888499023880907104508651329618490675767550067686474858718815763790581842494293022946714525287197997063299182263628111553736048721631652200586218935467360981267788747844126360921408436540389275658637478537455412748679125646985420343780083430432920002084809653762967040926565323474287510005009005963424964882975033918356544032656778361967312615473861985167874078168525506030709116822006518585652808607299362397357879412250072271920378884921612461234019519906723871827125549316406250000000000000000000000000000000000000000000
[4,0] -62810106113846022631265326360252066696148305401803740097490742614376196349047668423004618298546881335733948506236281299643234067848314043258771984607977905359399104057200137278194492153295107638362795640067132928161649501418287174729762576284152650297407670635296327223936549769823800383634487829270016897834671526497213387709076615253633643994598048620481555852797061506628527730424918050328433182701804133482273615141043076452448825205635007444243233489712809594903200374156524522202675075754485761700309654749105144493108847430786192992684272124853983943050799481035796986357486435680567644072573733092374423545794886227922332809914960751521934556978060239960161149367256830313398205521453782911385558773376584122107146621669042442340419089249624466297818838287757389098612285856984515852540152266060767997877438100483519455949317743551772412912359655370140357539820704502653870161522867240228109000048089473401162197128882591319939822837654896743259800373451158142557751880327828172572346334540105416976984997745603322982788085937500000000000000000000000000000000000000000000000000
[4,1] 14565806356706485072405275130311824865291051886046732227640259877053127832879337780607901342164773720841323138348096145276561564569969357186325136657313145412008350309314694855678404381863382373848020612761324733216435706589185744013113813998035633535683919150902041267510968882436380963335926118980018588666283550474534107280235629385728113533718935253088346445506395778021334402845196424596730768711810206839539383852761834547763044681415909227586689963214320241116383433000310952799608886298636398724830732216373661605577175605585340531862051100495975910953341852520856608214929491750135024176989773022331414481585275079208032574565078856655494174355139890009272197845384263882202846204581113779827278348552767588703908931976942681488537201913763983356245582097503267859082534843841844854530418997182434443819087498182212408781041076872999347664214419448120026859979254759686122996461780069999841303134416068616881813698195601025631804602950234020563193691134035408916059271187566537023589623896517759871205299759822082705795764923095703125000000000000000000000000000000000000000000
[4,2] -1229089386901901698698752327008147811628195236723821205141509758491908388923624919813079701020153768255473819518389637629287552396668902336916053447662385519983268704385259321003591328808358992230581637158202973728473558187111290375536404326246850926364549670652806772863799186883696401467774232440728677998173713873687241489550536190135065422551443623171959698139565258172727484442220687453162026689718481890768262763757914114958063075089661605189323542883306227930846272708178340109269972610489952868479970601511904298518256622257003512351431601043347836065802285803270990025902694880014512840160453955663112126668223340601149664458643389149963933673859360612598823219044235385224947966170828798753245890476071095780376119685097991746631410898505646040991619220951020103666974735681150966857055485880041727733316895961679285386765954120627742940021361807665310618380716501882132768279786371688297648000866463387560042748384990878567860850817753548806800687745858535312157884439166154663141863883812270139689326597931540163699537515640258789062500000000000000000000000000000000000000
[4,3] 42649532809057299652183314192528305099255121973844250741818990198825099500938275099871476783161560616508534746324661964483803511260183226500561566003540076001975789108136440603872522592677540593966465681456901066839127842925709548670138042815649892052171955262191450088524965543441442647731286013530730503615567766679755738606362573284169893422383085374585729480345165979176372675870815499935469799130713910817132613552606542939853195359250850454480705164748704911538720246548015916690036883786447150419867602697928534872874657873079704926105161408369182910268110379269599137829690067848313409948900363329341924013718347858563835272748257262437909062949286362856185610135682059649042487630082454561108606089259440244654614264960959240131915628122844185121340927028907179635143040884082626229431243987704355160836527528300110857115951832686185288488028625222122260981663403993158602451889575574908879649791919039060643070983466788546254696337119277476795007587141222207126069932402851714172497009999881437819491125651438778731971979141235351562500000000000000000000000000000000000000
