[0,0] 4319789753760907649570730841817333144348923048178713234173021652749839502227407832796761258832118159298158588068512566697511348908938615579289513513432226414796639130654445316891819890203271697632346726109808693366310284239560244733585723514054156110208661563062829041498411855023146119903056816656623748693555833390274128515686258835176652780228859569922459588819226790319787157544519080760627039311620974435472000226464880140157512673166074120737615016457616601106664422103265477721463992579487237994329508828511662253687633357043197921745648922596951249044442647813802854720412412438080685158731238788324274254959307417380286330428934830662341386044056938319853539768435857909631190765483041122469506200624597194697453858152374007779115209197409685850890095505061725210892869363377124920745938527901655438102058710680659341627884205640325673808992821862243688787319299216970990417250845391565721277434609397012895022949856350225587615710435852133540150133917745152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -151802882211707985493494695942870270455569366093132924634279754949091058691977691475321072402814193374385269065084351476234703453462954655881615398516644455511972879994261781219317751964224799565029028350778819105527424778265623516825948279299128642848680283776198128556025029837405418424480310462581581586276307690465457570353792215441694767397470903834892794560086406039431002132413214442256856154323107463669204970593476103791871458660784724260290372616232810909566301243548656931334281649525191281355767066356961519077179514494786492587481179504639193410806041569110741080794095497172531426557697858080169939806707806210281464760186683524907940539560327565614121847840784154775722348907423166445962233633237398551590158106727364525931453130575998736390094524577758390895791871143805717451198613947454614511284745919316285640187297029051124726424300389986796595095097711473953256971854623508441016123117499716539784713305200585618595896890784721168233427980808477474816000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] -19000233330105032390268067202193819545851285166688581322591878632769366931642413562397354645441956506082241766583919082141966685550162281057562430698928498112367936142529315748451048749918402612529192126571471440140462728661972268453881560636402881647772613158023258414479126978071071117596986180209429643295126469750069466358926220891113599334827340273745344813209310143241498632186222771960126934520019126830240866159780990903935599376500935042568346098656746081460905196822713380024759335770475606879873857665414129646178695088685979437406524316688859308805162731278523024105678699376013963042867690742720002352831920729617089312512119493127141602730441438877859251075859854671113817589075211431550437853952693850657027686747078837024288941144186613567600826693752500157039727589367220331686675702082549509319839472189172669244759611299345682785767912971870378934683405925661755654528199885063434958466840816135350254065734285359489843558252913758352005099937005932434685952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 3144452639084420576801254134926104871951302621555409668624755921442288130560458882124695975971817250594510441395720493263178456836179015736898000288795824387934040802359022862498654280627383408641352156433011639753490423586737808061441042809863654791737127649637604177898991076741207742258826636807709573613023641415677712960089715173742979667849990206483327750689235365510147254400280577373986807375744719088242908984417499592719492301366202416481057060533158323802122222838783185885495909375641257414731407807973431981423833951591608682064981904566838621400634405031711800831743445945557215362730708797408614890574488399096269779214605226573045170090157108892206327192846726965229893228637965212498692069245388306623811541809191246472070067963515954324397633223260873738419279768951979117718137523688518258329426906298652783920399988086178148862181522045499967924409742669171655779857538215259044838603085498668529624692587508287549042299636541647941206760938196184544051200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 382064820383723942343672384895032155014812469733574513895540053330879142464097813974042268508926965845033578112521812492133696837209973089292236931938271938028360407836775181607970449932522639078886894362554509888180275351331382632477603752874044667850038930318400138374655579858112782416207887057170348996807918772815068292833376144565629543379182115548331229479150999195142642860929740988695503560861417771339658348370856939846188787117137538637068813438088551371139563119972336173035629641688793729213477219847636548997322509012570003654182789677352349699492309637397574105928172069913316213363480101386850704025453102876412371185573807568095634786910808285821996744611058718818218497992778203001692437498584127966782053132634249514605074193828450182016640984965591892004901367844493033335440085865182644018299691703731466370821503385357132594948891512010818012700660540720208760866848715478183881921399577366795183827564606536672751851408256359933865021586723506976716784402432000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 13244953357052645604396426416831239669375132855642538427396208735160704505496885611921932695925708282598613171721205299874416677725492341572540066457491813374489060862767125632051072633258325675992767267193162126694599795545644916012984472144551663993842693520814199392059923593328136447712942809387308849363913483552650472772454108577584769656230812205728862331399686714041131110035948073538575818640217332366494982019453828663931392962225577808888509562923729542897614976150321739680299536109064524175764316600887969136972441559572572907794355362565626874335967695300964568429186885701657764666087571557287953238112104640029970040684818875075380616198535298075789240943900940372676827504967240621741328902040076598304797376296422652097382155837365380129872105111124146515947644400550123529105406300333627062425227334124095722451104371528130498731685918698667494928238548136760504796300184698617783066471141297527996540884575025160322698735563824303820932384668268017231261069717012480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -39905807525834954803617607177422986941859674216372559591340562619840662392129785530507931836201654410516888692901663497485621963873956965340076929658129308719585708396339086957772231014999147497992703186645316609599992574855874581767965287748609350492834890662526140678329310162749652845565989679957767372252946871009220680117322954253100504084829476900897968030269433116497747201257579752377952103527299916132307005712877665653049640919076022711343103902020974208911442632816370379439237717744597783690154034496695229043678534416171525273981018797879213276136462060415729993972021487947168675465334597497862391427847637591202796345021459263366509282057517618354789448676609186664947318591196062793829910518884366951893002623612832044756152519792387304496384186374559362581564517496389629310484922728585278177217363056901617934667294200179972230268435931038634604409213258664133971433464627934162616594638701008558644093590104219812339211770852009592547211307951479141903424815104000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 1552857388719173392716238796921262845717052334124183197914111540629916528865065389593616751553619406338125624099163896028828301729539721975567569105777163485098090218144280134216736729841944333007286048691557938935131432779056127549398529144827539594115482831574730583679768526407597636319186244399415857067977742352965670020064540332023349372454431468468308792876698020205670399366589391826210026874256339134742208090520222041798745886569686546518051965122219363047115660605807290772091484835492255157733732378182299551862111359772323416460898977442575416652833806080655257326315252313811046435023939868989515704604839187762185689220515547158733877143626280031926580266220669878352165081966203221611820048393995184975960609493666057410380283866133355648279810897115271446129381705850082932006272023045378322689421708560937408002705856495386851816047636580974099103581698203031502108842083069272710848177015790565448786527861511105325228853612033130750091671450601448707787011974496256000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -22924462439606247718970711071113943885570481060561971406408989062797779491422669208491112065431030740798074733813384743396066713706101880424877964734472832779249147217313510564495458358634872433878744148592068821938729751227936814884903131923041692061496349194027150759272449364919334399467611447743921808910264191722854229379135274256990228140059162271081166425047031430949742026866702621804444721254367490368988707514409680311385867527057544490137869655198407440980822264901491154874253038839116779815663231611145768714124342933608654393664974285945399023751725469795295335790185896182503668354130197196751690877220353511607139848316641194241239817083528355040998181543716167073599470034033447659271340782551278760229414577853330115903731826008466569802851254250826467621737133310372440293257056541615653034659765134463187494275093505403960073081172601467635456652587851014134822179727731395565308107209280420854572575455087964591826250239819485023722995499264100535332804119873720418304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -72362115377165122828913283571183055015416132931611724373024173142627819384778652446816174565355443135003469317506444196412313141636747392086276888213271045404125967688718540232067626079969079914319496276952954048989703822184561517910864333090857604187300961496950208672803586213757676403269502043639990810420353369509774671838053125779029448375857157844015083664615702027580672162891911058383052655710173844272149136186854932541289438293509750823776430186600684400087836672139290492705429736226263734139241752382340412102914723120232946478748341913997283116031773103231615897565094951075671470366137343295813379673753114265397770545051616116253406128932232423372228391698327162860016353430605790539289256924019566022659841423679523879393470322901161650908004215451671478047376523780290835279799049104488799857513991979483324498503029198267467055268860608857878074967955979613762402240034109100850292420291369412725115877412258317633353381599886741585340880399048724064037212315358033101193216000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 353650138879711513513679143032957397289569526786170347682737952429800354641536953128170750659625787537900255570757897211881492715033746862444164224938821972203521889891588777083994388845330376846387061983235153247082065388903883912410635157177443382416376200659419067534217404513909592916370672396553539834457874737639322890899906745430250124007811887029924917426308733332167973208606974085752714108736948466592250309927238732064118347717409296658052015064282687769962286705625276170530307662807149051502315559534807418731308323964681750045017441962023774418555215885898293033002622850267267866738666870621578623270672122094014768893337096122366371671727172141499438813310096741607690727325849713159665057538945840953792208130902919116200907923887339789277141573126932761184643641290949381495149505717344092061743560070157643001195489656817252645197958075063604751086691977747017013250329169430204465516388863342160479363203881981771782266709206934014819579713624760409962168354603008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
